T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
489.60	0.20000	5.8556	0.0099861
489.60	1.0000	37.143	0.010848
489.60	5.0000	513.21	0.10300
489.60	10.000	536.75	0.11908
489.60	20.000	566.70	0.14642
489.60	30.000	587.37	0.17118
489.60	40.000	603.51	0.19479
489.60	50.000	616.89	0.21777
489.60	60.000	628.41	0.24041
489.60	70.000	638.57	0.26287
489.60	80.000	647.69	0.28526
489.60	90.000	655.98	0.30764
489.60	100.00	663.60	0.33008
489.60	110.00	670.65	0.35262
489.60	120.00	677.23	0.37528
489.60	130.00	683.41	0.39810
489.60	140.00	689.23	0.42109
489.60	150.00	694.73	0.44429
489.60	160.00	699.97	0.46769
489.60	170.00	704.95	0.49133
489.60	180.00	709.71	0.51521
489.60	190.00	714.28	0.53934
489.60	200.00	718.66	0.56374
489.60	210.00	722.87	0.58842
489.60	220.00	726.93	0.61338
489.60	230.00	730.85	0.63864
489.60	240.00	734.64	0.66421
489.60	250.00	738.31	0.69009
489.60	260.00	741.87	0.71630
489.60	270.00	745.32	0.74284
489.60	280.00	748.67	0.76972
489.60	290.00	751.94	0.79695
489.60	300.00	755.11	0.82454
489.60	310.00	758.21	0.85250
489.60	320.00	761.22	0.88083
489.60	330.00	764.17	0.90955
489.60	340.00	767.04	0.93866
489.60	350.00	769.85	0.96818
489.60	360.00	772.60	0.99810
489.60	370.00	775.29	1.0284
489.60	380.00	777.92	1.0592
489.60	390.00	780.50	1.0904
489.60	400.00	783.03	1.1221
489.60	410.00	785.51	1.1542
489.60	420.00	787.94	1.1868
489.60	430.00	790.32	1.2198
489.60	440.00	792.67	1.2534
489.60	450.00	794.97	1.2874
