T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
382.62	0.20000	3.7504	0.0094595
382.62	1.0000	21.325	0.0096111
382.62	10.000	491.14	0.090492
382.62	20.000	519.05	0.10784
382.62	30.000	538.64	0.12281
382.62	40.000	554.06	0.13667
382.62	50.000	566.90	0.14992
382.62	60.000	577.97	0.16282
382.62	70.000	587.75	0.17550
382.62	80.000	596.54	0.18806
382.62	90.000	604.53	0.20057
382.62	100.00	611.88	0.21308
382.62	110.00	618.69	0.22562
382.62	120.00	625.04	0.23820
382.62	130.00	631.01	0.25086
382.62	140.00	636.63	0.26361
382.62	150.00	641.95	0.27646
382.62	160.00	647.01	0.28942
382.62	170.00	651.82	0.30250
382.62	180.00	656.43	0.31570
382.62	190.00	660.84	0.32903
382.62	200.00	665.08	0.34250
382.62	210.00	669.16	0.35610
382.62	220.00	673.09	0.36985
382.62	230.00	676.89	0.38375
382.62	240.00	680.56	0.39779
382.62	250.00	684.12	0.41198
382.62	260.00	687.56	0.42632
382.62	270.00	690.91	0.44082
382.62	280.00	694.16	0.45546
382.62	290.00	697.33	0.47027
382.62	300.00	700.41	0.48523
382.62	310.00	703.41	0.50035
382.62	320.00	706.34	0.51563
382.62	330.00	709.20	0.53106
382.62	340.00	712.00	0.54665
382.62	350.00	714.73	0.56241
382.62	360.00	717.40	0.57832
382.62	370.00	720.02	0.59439
382.62	380.00	722.58	0.61063
382.62	390.00	725.09	0.62702
382.62	400.00	727.55	0.64358
