T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
367.03	0.20000	3.9140	0.0091611
367.03	1.0000	22.385	0.0093811
367.03	10.000	487.07	0.096304
367.03	20.000	515.15	0.11626
367.03	30.000	534.73	0.13345
367.03	40.000	550.09	0.14933
367.03	50.000	562.88	0.16446
367.03	60.000	573.91	0.17913
367.03	70.000	583.65	0.19352
367.03	80.000	592.39	0.20772
367.03	90.000	600.35	0.22181
367.03	100.00	607.67	0.23584
367.03	110.00	614.44	0.24985
367.03	120.00	620.76	0.26387
367.03	130.00	626.69	0.27793
367.03	140.00	632.28	0.29203
367.03	150.00	637.58	0.30621
367.03	160.00	642.60	0.32046
367.03	170.00	647.39	0.33481
367.03	180.00	651.96	0.34925
367.03	190.00	656.35	0.36381
367.03	200.00	660.55	0.37847
367.03	210.00	664.60	0.39326
367.03	220.00	668.50	0.40817
367.03	230.00	672.26	0.42320
367.03	240.00	675.90	0.43837
367.03	250.00	679.42	0.45368
367.03	260.00	682.83	0.46913
367.03	270.00	686.14	0.48472
367.03	280.00	689.36	0.50045
367.03	290.00	692.48	0.51634
367.03	300.00	695.53	0.53237
367.03	310.00	698.49	0.54856
367.03	320.00	701.39	0.56490
367.03	330.00	704.21	0.58141
367.03	340.00	706.96	0.59807
367.03	350.00	709.66	0.61489
367.03	360.00	712.29	0.63187
367.03	370.00	714.87	0.64902
367.03	380.00	717.39	0.66634
367.03	390.00	719.86	0.68382
367.03	400.00	722.28	0.70148
