T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
347.52	0.10000	657.54	0.30645
347.52	1.0000	658.70	0.30959
347.52	5.0000	663.62	0.32355
347.52	10.000	669.30	0.34105
347.52	15.000	674.55	0.35865
347.52	20.000	679.44	0.37639
347.52	25.000	684.02	0.39430
347.52	30.000	688.34	0.41239
347.52	35.000	692.43	0.43070
347.52	40.000	696.33	0.44922
347.52	45.000	700.04	0.46798
347.52	50.000	703.60	0.48697
347.52	55.000	707.01	0.50622
347.52	60.000	710.29	0.52573
347.52	65.000	713.45	0.54550
347.52	70.000	716.50	0.56555
347.52	75.000	719.46	0.58588
347.52	80.000	722.31	0.60650
347.52	85.000	725.09	0.62740
347.52	90.000	727.78	0.64861
347.52	95.000	730.39	0.67012
347.52	100.00	732.94	0.69193
347.52	105.00	735.42	0.71407
347.52	110.00	737.84	0.73652
347.52	115.00	740.20	0.75930
347.52	120.00	742.50	0.78240
347.52	125.00	744.76	0.80585
347.52	130.00	746.96	0.82963
347.52	135.00	749.12	0.85377
347.52	140.00	751.23	0.87825
347.52	145.00	753.30	0.90310
347.52	150.00	755.33	0.92830
347.52	155.00	757.32	0.95388
347.52	160.00	759.27	0.97984
347.52	165.00	761.19	1.0062
347.52	170.00	763.07	1.0329


