T(K)	eta(cP)
90.000	9.8100
95.000	6.2729
100.00	4.3002
105.00	3.1072
110.00	2.3420
115.00	1.8282
120.00	1.4698
125.00	1.2115
130.00	1.0199
135.00	0.87412
140.00	0.76054
145.00	0.67018
150.00	0.59691
155.00	0.53649
160.00	0.48589
165.00	0.44294
170.00	0.40605
175.00	0.37402
180.00	0.34595
185.00	0.32116
190.00	0.29910
195.00	0.27936
200.00	0.26158
205.00	0.24549
210.00	0.23087
215.00	0.21753
220.00	0.20531
225.00	0.19408
230.00	0.18372
235.00	0.17415
240.00	0.16527
245.00	0.15701
250.00	0.14931
255.00	0.14211
260.00	0.13535
265.00	0.12900
270.00	0.12301
275.00	0.11734
280.00	0.11197
285.00	0.10685
290.00	0.10196
295.00	0.097280
300.00	0.092773
305.00	0.088419
310.00	0.084193
315.00	0.080070
320.00	0.076025
325.00	0.072029
330.00	0.068052
335.00	0.064052
340.00	0.059978
345.00	0.055756
350.00	0.051261
355.00	0.046256
360.00	0.040077
