T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293	0.20665	578.76	0.16639
293	1	580.05	0.16818
293	10	593.04	0.18755
293	25	610.25	0.21734
293	50	632.16	0.26334
293	100	663.69	0.34953
293	150	687.07	0.43334
293	200	706	0.51745
293	250	722.07	0.60329
293	300	736.13	0.69187
293	350	748.68	0.78402
293	400	760.06	0.88055


