T(K)	eta(cP)
165.00	1.5366
170.00	1.2942
175.00	1.1053
180.00	0.95567
185.00	0.83529
190.00	0.73710
195.00	0.65596
200.00	0.58808
205.00	0.53066
210.00	0.48158
215.00	0.43924
220.00	0.40239
225.00	0.37006
230.00	0.34150
235.00	0.31611
240.00	0.29340
245.00	0.27299
250.00	0.25456
255.00	0.23784
260.00	0.22262
265.00	0.20871
270.00	0.19597
275.00	0.18426
280.00	0.17347
285.00	0.16350
290.00	0.15428
295.00	0.14571
300.00	0.13775
305.00	0.13033
310.00	0.12340
315.00	0.11691
320.00	0.11083
325.00	0.10512
330.00	0.099735
335.00	0.094657
340.00	0.089854
345.00	0.085299
350.00	0.080971
355.00	0.076845
360.00	0.072903
365.00	0.069124
370.00	0.065490
375.00	0.061983
380.00	0.058585
385.00	0.055277
390.00	0.052040
395.00	0.048849
400.00	0.045673
405.00	0.042471
410.00	0.039172
415.00	0.035641
420.00	0.031501
425.00	0.022901
