T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	1.0000	665.59	0.30949
293.00	10.000	674.52	0.33962
293.00	25.000	687.36	0.39102
293.00	50.000	705.02	0.48189
293.00	100.00	732.43	0.68972
293.00	150.00	753.92	0.93980
293.00	200.00	771.88	1.2396
293.00	250.00	787.46	1.5969
293.00	300.00	801.30	2.0205
293.00	350.00	813.81	2.5213
293.00	400.00	825.25	3.1120
293.00	425.00	830.63	3.4459
