T(K)	eta(cP)	Uncertainty(cP)
260	0.817	2.02
270	0.663	0.804
280	0.554	0.285
290	0.4748	0.0534
300	0.4143	7.62E-02
310	0.367	0.138
320	0.329	0.173
330	0.298	0.19
340	0.272	0.195
350	0.25	0.191
360	0.231	0.182
370	0.215	0.168
380	0.2	0.153
390	0.187	0.137
400	0.176	0.124
410	0.166	0.113
420	0.156	0.107
430	0.148	0.105
440	0.14	0.106
450	0.132	0.108
460	0.126	0.111
470	0.119	0.112
480	0.113	0.11
490	0.107	0.107
500	0.101	0.105
510	0.0958	0.114
520	0.0904	0.146
530	0.085	0.216
