T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	0.20000	692.24	0.50652
293.00	1.0000	693.05	0.51170
293.00	5.0000	696.95	0.53770
293.00	10.000	701.52	0.57059
293.00	15.000	705.82	0.60394
293.00	20.000	709.86	0.63781
293.00	25.000	713.70	0.67223
293.00	30.000	717.35	0.70725
293.00	35.000	720.83	0.74289
293.00	40.000	724.17	0.77919
293.00	45.000	727.37	0.81616
293.00	50.000	730.45	0.85383
293.00	55.000	733.42	0.89223
293.00	60.000	736.29	0.93137
293.00	65.000	739.06	0.97129
293.00	70.000	741.75	1.0120
293.00	75.000	744.36	1.0535
293.00	80.000	746.90	1.0959
293.00	85.000	749.36	1.1391
293.00	90.000	751.77	1.1832
293.00	95.000	754.11	1.2282
293.00	100.00	756.39	1.2742
293.00	105.00	758.62	1.3211
293.00	110.00	760.79	1.3690
293.00	115.00	762.92	1.4179
293.00	120.00	765.01	1.4678
293.00	125.00	767.05	1.5189
293.00	130.00	769.05	1.5710
293.00	135.00	771.00	1.6242
293.00	140.00	772.93	1.6786
293.00	145.00	774.81	1.7341
293.00	150.00	776.66	1.7909
293.00	155.00	778.48	1.8489
293.00	160.00	780.27	1.9083
293.00	165.00	782.02	1.9689
293.00	170.00	783.75	2.0309
293.00	175.00	785.45	2.0943
293.00	180.00	787.12	2.1592
293.00	185.00	788.77	2.2256
293.00	190.00	790.39	2.2935
293.00	195.00	791.98	2.3629
293.00	200.00	793.56	2.4340
293.00	205.00	795.11	2.5068
