T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	0.20000	620.35	0.23202
293.00	1.0000	621.44	0.23446
293.00	10.000	632.56	0.26174
293.00	20.000	643.10	0.29198
293.00	30.000	652.30	0.32258
293.00	40.000	660.50	0.35380
293.00	50.000	667.93	0.38582
293.00	60.000	674.75	0.41875
293.00	70.000	681.05	0.45269
293.00	80.000	686.93	0.48772
293.00	90.000	692.44	0.52390
293.00	100.00	697.64	0.56128
293.00	110.00	702.55	0.59992
293.00	120.00	707.23	0.63986
293.00	130.00	711.68	0.68115
293.00	140.00	715.94	0.72382
293.00	150.00	720.01	0.76793
293.00	160.00	723.93	0.81350
293.00	170.00	727.70	0.86059
293.00	180.00	731.33	0.90923
293.00	190.00	734.84	0.95946
293.00	200.00	738.23	1.0113
293.00	210.00	741.52	1.0649
293.00	220.00	744.70	1.1201
293.00	230.00	747.79	1.1772
293.00	240.00	750.80	1.2360
293.00	250.00	753.72	1.2968
293.00	260.00	756.57	1.3594
293.00	270.00	759.34	1.4240
293.00	280.00	762.04	1.4906
293.00	290.00	764.68	1.5592
293.00	300.00	767.25	1.6300
293.00	310.00	769.77	1.7029
293.00	320.00	772.23	1.7781
293.00	330.00	774.64	1.8556
293.00	340.00	777.00	1.9355
293.00	350.00	779.31	2.0177
293.00	360.00	781.58	2.1025
293.00	370.00	783.80	2.1898
293.00	380.00	785.97	2.2798
293.00	390.00	788.11	2.3724
293.00	395.00	789.17	2.4198
