T(K)	eta(cP)	Uncertainty(cP)
273.1	0.9099	3.50E-02
280	0.8188	2.35E-02
290	0.7087	2.21E-02
300	0.6189	1.75E-02
310	0.5447	1.66E-02
320	0.4826	2.28E-02
330	0.4302	3.33E-02
340	0.3856	4.35E-02
350	0.3473	5.22E-02
360	0.3141	5.90E-02
370	0.2852	6.41E-02
380	0.2598	6.75E-02
390	0.2375	6.93E-02
400	0.2177	6.99E-02
410	0.2	6.95E-02
420	0.1843	6.82E-02
430	0.1701	6.63E-02
440	0.1573	6.40E-02
450	0.1457	6.16E-02
460	0.1352	5.93E-02
470	0.1256	5.74E-02
480	0.1169	5.60E-02
490	0.1089	5.55E-02
500	0.1015	5.60E-02
510	0.0947	5.76E-02
520	0.0884	6.03E-02
530	0.0826	6.41E-02
540	0.0773	6.89E-02
550	0.0722	7.45E-02
560	0.0676	8.09E-02
570	0.0632	8.79E-02
