T (K)	P (MPa)	rhol (kg/m3)	eta (cP) 
293.00	0.10000	661.64	0.34177
293.00	5.0000	666.86	0.36302
293.00	10.000	671.83	0.38505
293.00	25.000	685.02	0.45376
293.00	50.000	703.10	0.57943
293.00	100.00	730.95	0.88453
293.00	150.00	752.63	1.2799
293.00	200.00	770.65	1.7899
293.00	225.00	778.69	2.0972
