T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	0.20000	590.16	0.26760
293.00	1.0000	591.54	0.27174
293.00	2.0000	593.22	0.27692
293.00	3.0000	594.85	0.28207
293.00	4.0000	596.44	0.28722
293.00	5.0000	597.99	0.29236
293.00	6.0000	599.50	0.29750
293.00	7.0000	600.98	0.30263
293.00	8.0000	602.42	0.30776
293.00	9.0000	603.83	0.31289
293.00	10.000	605.21	0.31802
293.00	11.000	606.56	0.32315
293.00	12.000	607.88	0.32829
293.00	13.000	609.18	0.33343
293.00	14.000	610.45	0.33858
293.00	15.000	611.70	0.34374
293.00	16.000	612.92	0.34891
293.00	17.000	614.13	0.35409
293.00	18.000	615.31	0.35927
293.00	19.000	616.47	0.36447
293.00	20.000	617.62	0.36968
293.00	21.000	618.74	0.37490
293.00	22.000	619.85	0.38013
293.00	23.000	620.94	0.38538
293.00	24.000	622.02	0.39065
293.00	15.000	611.70	0.34374
293.00	26.000	624.12	0.40122
293.00	27.000	625.15	0.40653
293.00	28.000	626.16	0.41185
293.00	29.000	627.16	0.41719
293.00	30.000	628.15	0.42255
