T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	0.20665	578.76	0.16750
293.00	1.0000	580.05	0.16921
293.00	10.000	593.04	0.18811
293.00	20.000	604.97	0.20859
293.00	30.000	615.17	0.22890
293.00	40.000	624.13	0.24928
293.00	50.000	632.16	0.26983
293.00	60.000	639.47	0.29063
293.00	70.000	646.18	0.31173
293.00	80.000	652.41	0.33318
293.00	90.000	658.23	0.35498
293.00	100.00	663.69	0.37716
293.00	110.00	668.85	0.39972
293.00	120.00	673.73	0.42269
293.00	130.00	678.38	0.44605
293.00	140.00	682.82	0.46982
293.00	150.00	687.07	0.49400
293.00	160.00	691.14	0.51860
293.00	170.00	695.06	0.54360
293.00	180.00	698.84	0.56902
293.00	190.00	702.48	0.59485
293.00	200.00	706.00	0.62110
293.00	210.00	709.41	0.64776
293.00	220.00	712.71	0.67484
293.00	230.00	715.92	0.70232
293.00	240.00	719.04	0.73022
293.00	250.00	722.07	0.75853
293.00	260.00	725.02	0.78725
293.00	270.00	727.90	0.81637
293.00	280.00	730.71	0.84591
293.00	290.00	733.45	0.87585
293.00	300.00	736.13	0.90620
293.00	310.00	738.75	0.93695
293.00	320.00	741.31	0.96810
293.00	330.00	743.82	0.99966
293.00	340.00	746.27	1.0316
293.00	350.00	748.68	1.0640
293.00	360.00	751.04	1.0967
293.00	370.00	753.36	1.1299
293.00	380.00	755.63	1.1634
293.00	390.00	757.86	1.1974
293.00	400.00	760.06	1.2317


