T(K)	eta(cP)
320.00	4.5003
325.00	3.9842
330.00	3.5561
335.00	3.1966
340.00	2.8915
345.00	2.6301
350.00	2.4042
355.00	2.2076
360.00	2.0354
365.00	1.8837
370.00	1.7492
375.00	1.6294
380.00	1.5222
385.00	1.4259
390.00	1.3390
395.00	1.2603
400.00	1.1888
405.00	1.1236
410.00	1.0639
415.00	1.0092
420.00	0.95880
425.00	0.91234
430.00	0.86938
435.00	0.82954
440.00	0.79253
445.00	0.75805
450.00	0.72587
455.00	0.69577
460.00	0.66756
465.00	0.64108
470.00	0.61616
475.00	0.59268
480.00	0.57051
485.00	0.54956
490.00	0.52971
495.00	0.51088
500.00	0.49299
505.00	0.47597
510.00	0.45976
515.00	0.44430
520.00	0.42953
525.00	0.41540
530.00	0.40187
535.00	0.38890
540.00	0.37645
545.00	0.36448
550.00	0.35297
555.00	0.34189
560.00	0.33121
565.00	0.32089
570.00	0.31094
575.00	0.30131
580.00	0.29199
585.00	0.28297
590.00	0.27422
595.00	0.26573
600.00	0.25749
605.00	0.24949
610.00	0.24170
615.00	0.23412
620.00	0.22674
625.00	0.21954
630.00	0.21252
635.00	0.20567
640.00	0.19898
645.00	0.19244
650.00	0.18604
655.00	0.17978
660.00	0.17365
665.00	0.16763
670.00	0.16174
675.00	0.15595
680.00	0.15027
685.00	0.14469
690.00	0.13919
695.00	0.13379
700.00	0.12847
705.00	0.12322
710.00	0.11805
715.00	0.11294
720.00	0.10789
725.00	0.10289
730.00	0.097949
735.00	0.093044
740.00	0.088171
745.00	0.083321
750.00	0.078481
755.00	0.073634
760.00	0.068756
765.00	0.063814
770.00	0.058750
775.00	0.053470
780.00	0.047783
785.00	0.041230
790.00	0.031987
