T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	0.20000	5.0608	0.0073593
293.00	1.0000	558.42	0.16145
293.00	10.000	573.78	0.18413
293.00	20.000	587.37	0.20779
293.00	30.000	598.72	0.23065
293.00	40.000	608.55	0.25313
293.00	50.000	617.27	0.27548
293.00	60.000	625.14	0.29782
293.00	70.000	632.33	0.32026
293.00	80.000	638.96	0.34287
293.00	90.000	645.12	0.36570
293.00	100.00	650.89	0.38878
293.00	110.00	656.32	0.41215
293.00	120.00	661.45	0.43583
293.00	130.00	666.32	0.45985
293.00	140.00	670.95	0.48422
293.00	150.00	675.38	0.50895
293.00	160.00	679.61	0.53406
293.00	170.00	683.68	0.55955
293.00	180.00	687.58	0.58545
293.00	190.00	691.35	0.61176
293.00	200.00	694.98	0.63848
293.00	210.00	698.50	0.66563
293.00	220.00	701.90	0.69321
293.00	230.00	705.19	0.72123
293.00	240.00	708.39	0.74970
293.00	250.00	711.50	0.77863
293.00	260.00	714.52	0.80801
293.00	270.00	717.46	0.83787
293.00	280.00	720.33	0.86819
293.00	290.00	723.12	0.89900
293.00	300.00	725.85	0.93029
293.00	310.00	728.51	0.96208
293.00	320.00	731.12	0.99436
293.00	330.00	733.66	1.0271
293.00	340.00	736.15	1.0604
293.00	350.00	738.59	1.0943
293.00	360.00	740.98	1.1286
293.00	370.00	743.33	1.1635
293.00	380.00	745.63	1.1989
293.00	390.00	747.88	1.2348
293.00	395.00	748.99	1.2530
